image_id,source,mean_intensity,std_intensity,mask_fraction,mask_area_pixels,object_count,mean_object_size,median_object_size,selected_index,strategy
bbbc006_o05_s2,combined,0.14835785329341888,0.10080844163894653,0.1627928763628006,58918.0,74,796.1891891891892,686.5,634,passive
bbbc006_k09_s2,combined,0.046466171741485596,0.0703788697719574,0.24105051159858704,87241.0,104,838.8557692307693,697.0,74,passive
bbbc006_n12_s1,combined,0.2556819021701813,0.13333003222942352,0.2081095278263092,75319.0,91,827.6813186813187,652.0,619,passive
bbbc006_f10_s1,combined,0.05316709727048874,0.08036459982395172,0.24466733634471893,88550.0,89,994.943820224719,891.0,461,passive
bbbc006_f03_s2,combined,0.05305659770965576,0.07685620337724686,0.2842368483543396,102871.0,101,1018.5247524752475,798.0,280,passive
bbbc006_b07_s2,combined,0.06260255724191666,0.0850038230419159,0.28088250756263733,101657.0,108,941.2685185185185,753.0,101,passive
bbbc039_f12_s8_w1,combined,0.01844598725438118,0.04760417342185974,0.012342507019639015,4467.0,6,744.5,815.0,340,passive
bbbc006_o02_s2,combined,0.051635634154081345,0.0844121128320694,0.2068357616662979,74858.0,81,924.1728395061729,844.0,116,passive
bbbc006_b24_s2,combined,0.15027688443660736,0.23600871860980988,0.06776083260774612,24524.0,18,1362.4444444444443,933.5,499,passive
bbbc006_l23_s2,combined,0.39598754048347473,0.15296396613121033,0.3019810914993286,109293.0,109,1002.6880733944954,772.0,527,passive
bbbc006_c19_s2,combined,0.05488545820116997,0.08702025562524796,0.24910201132297516,90155.0,98,919.9489795918367,802.5,14,passive
bbbc006_i18_s2,combined,0.06032710522413254,0.030838623642921448,0.0019783377647399902,716.0,1,716.0,716.0,357,passive
bbbc006_d03_s1,combined,0.20024871826171875,0.08932028710842133,0.29127708077430725,105419.0,104,1013.6442307692307,724.0,8,passive
bbbc006_p02_s2,combined,0.08685551583766937,0.14966841042041779,0.15286803245544434,55326.0,66,838.2727272727273,737.5,358,passive
bbbc006_i10_s2,combined,0.07908263057470322,0.13637779653072357,0.18809129297733307,68074.0,71,958.7887323943662,777.0,364,passive
bbbc006_d14_s1,combined,0.21745829284191132,0.15333451330661774,0.16805094480514526,60821.0,74,821.9054054054054,699.5,492,passive
bbbc039_n21_s1_w1,combined,0.016643550246953964,0.036637913435697556,0.030095048248767853,10892.0,25,435.68,468.0,335,passive
bbbc006_i22_s2,combined,0.3590583801269531,0.14471706748008728,0.3037964105606079,109950.0,94,1169.6808510638298,882.5,602,passive
bbbc006_e07_s2,combined,0.20031924545764923,0.09449112415313721,0.23660477995872498,85632.0,94,910.9787234042553,732.0,598,passive
bbbc039_g16_s6_w1,combined,0.05611547827720642,0.07407443225383759,0.26699545979499817,96631.0,144,671.0486111111111,639.5,536,passive
bbbc006_h06_s2,combined,0.04929215833544731,0.08282457292079926,0.1942998468875885,70321.0,82,857.5731707317074,764.5,472,passive
bbbc006_j22_s2,combined,0.07592364400625229,0.10230991244316101,0.33544430136680603,121404.0,100,1214.04,816.0,633,passive
bbbc006_n20_s2,combined,0.33701661229133606,0.111356221139431,0.313630074262619,113509.0,102,1112.8333333333333,814.5,657,passive
bbbc039_j17_s1_w1,combined,0.08503931760787964,0.13946858048439026,0.15948276221752167,57720.0,72,801.6666666666666,751.0,149,passive
bbbc006_c14_s2,combined,0.030788911506533623,0.06351472437381744,0.1459410935640335,52819.0,55,960.3454545454546,801.0,402,passive
bbbc006_p23_s2,combined,0.06031766161322594,0.0993548035621643,0.22013704478740692,79672.0,83,959.9036144578313,739.0,62,passive
bbbc006_m13_s1,combined,0.36052465438842773,0.14685381948947906,0.2921943962574005,105751.0,99,1068.1919191919192,838.0,613,passive
bbbc006_f22_s2,combined,0.06188890337944031,0.0965537577867508,0.2592782974243164,93838.0,83,1130.578313253012,972.0,321,passive
bbbc006_e14_s2,combined,0.3149911165237427,0.1292528510093689,0.2778514623641968,100560.0,88,1142.7272727272727,851.5,427,passive
bbbc006_f18_s1,combined,0.06979159265756607,0.09470576047897339,0.2990080714225769,108217.0,102,1060.950980392157,805.5,33,passive
bbbc006_h10_s1,combined,0.24026887118816376,0.11410702764987946,0.2503122091293335,90593.0,89,1017.8988764044943,870.0,106,passive
bbbc039_h24_s6_w1,combined,0.038540299981832504,0.054423943161964417,0.22165672481060028,80222.0,119,674.1344537815127,646.0,458,passive
bbbc006_i08_s2,combined,0.14926792681217194,0.11352719366550446,0.11744308471679688,42505.0,40,1062.625,892.5,268,passive
bbbc039_a12_s7_w1,combined,0.012733700685203075,0.027697620913386345,0.04531664401292801,16401.0,19,863.2105263157895,1108.0,589,passive
bbbc039_h18_s7_w1,combined,0.07861857861280441,0.09847637265920639,0.2765362560749054,100084.0,115,870.295652173913,712.0,518,passive
bbbc006_b18_s2,combined,0.3563287854194641,0.12614041566848755,0.27546417713165283,99696.0,78,1278.1538461538462,918.0,100,passive
bbbc006_e15_s1,combined,0.2648003399372101,0.13587284088134766,0.22627928853034973,81895.0,83,986.6867469879518,789.0,64,passive
bbbc006_m16_s1,combined,0.049616362899541855,0.07864484935998917,0.2337035834789276,84582.0,88,961.1590909090909,730.5,123,passive
bbbc006_o21_s2,combined,0.4057184159755707,0.1657896339893341,0.2736046612262726,99023.0,107,925.4485981308411,718.0,396,passive
bbbc006_j21_s2,combined,0.3842482566833496,0.1484939604997635,0.3517490029335022,127305.0,93,1368.8709677419354,886.0,241,passive
bbbc039_a18_s1_w1,combined,0.06681594997644424,0.11157762259244919,0.16448663175106049,59531.0,94,633.3085106382979,631.0,600,passive
bbbc006_n18_s1,combined,0.05726766958832741,0.09098026156425476,0.24821783602237701,89835.0,88,1020.8522727272727,882.5,92,passive
bbbc039_p24_s9_w1,combined,0.0640595406293869,0.10791633278131485,0.1463748961687088,52976.0,80,662.2,691.0,251,passive
bbbc006_k05_s1,combined,0.15494437515735626,0.09041137993335724,0.2026580423116684,73346.0,81,905.5061728395061,709.0,391,passive
bbbc006_l17_s1,combined,0.061387497931718826,0.09016571938991547,0.25127100944519043,90940.0,78,1165.8974358974358,904.0,638,passive
bbbc006_p20_s2,combined,0.39637333154678345,0.16980011761188507,0.23909427225589752,86533.0,88,983.3295454545455,806.0,262,passive
bbbc006_c22_s1,combined,0.3185305893421173,0.14701314270496368,0.2497900128364563,90404.0,87,1039.1264367816093,803.0,547,passive
bbbc006_l02_s1,combined,0.17339923977851868,0.07067594677209854,0.24987013638019562,90433.0,93,972.3978494623656,770.0,15,passive
bbbc006_j05_s2,combined,0.05497334524989128,0.08744887262582779,0.22503867745399475,81446.0,82,993.2439024390244,756.0,441,passive
bbbc006_e06_s2,combined,0.05798657611012459,0.08852416276931763,0.23383067548274994,84628.0,107,790.9158878504672,684.0,213,passive
bbbc039_k03_s5_w1,combined,0.09099464118480682,0.12930859625339508,0.24350684881210327,88130.0,115,766.3478260869565,665.0,265,passive
bbbc006_e20_s1,combined,0.3239802122116089,0.1767255663871765,0.21366047859191895,77328.0,69,1120.695652173913,829.0,537,passive
bbbc006_k06_s2,combined,0.16800352931022644,0.09133635461330414,0.1830376833677292,66245.0,82,807.8658536585366,732.0,651,passive
bbbc006_m01_s2,combined,0.12421252578496933,0.07782948017120361,0.140923410654068,51003.0,54,944.5,748.5,484,passive
bbbc006_a08_s1,combined,0.2596868574619293,0.10638009011745453,0.31460267305374146,113861.0,104,1094.8173076923076,772.5,557,passive
bbbc006_j06_s1,combined,0.22694189846515656,0.07861354202032089,0.31831344962120056,115204.0,105,1097.1809523809525,872.0,28,passive
bbbc006_f01_s1,combined,0.06055041030049324,0.09218598902225494,0.22483974695205688,81374.0,78,1043.2564102564102,720.5,501,passive
bbbc006_b06_s1,combined,0.11846429854631424,0.10175018012523651,0.11449491232633591,41438.0,48,863.2916666666666,726.0,636,passive
bbbc006_g12_s1,combined,0.06997963786125183,0.10453677922487259,0.0,0.0,0,0.0,0.0,13,passive
bbbc006_b19_s2,combined,0.3618040084838867,0.11899781972169876,0.2740992605686188,99202.0,102,972.5686274509804,775.5,485,passive
bbbc006_p08_s1,combined,0.1997101753950119,0.09388862550258636,0.21401967108249664,77458.0,82,944.609756097561,695.0,96,passive
bbbc039_k12_s1_w1,combined,0.06004184111952782,0.09548211842775345,0.16139478981494904,58412.0,75,778.8266666666667,725.0,150,passive
bbbc006_g01_s2,combined,0.19976945221424103,0.11891884356737137,0.2216484248638153,80219.0,87,922.0574712643678,682.0,195,passive
bbbc006_h22_s2,combined,0.0660022720694542,0.0991186797618866,0.28765472769737244,104108.0,112,929.5357142857143,748.5,561,passive
bbbc039_d06_s8_w1,combined,0.06478849798440933,0.08473590761423111,0.26059073209762573,94313.0,133,709.1203007518797,676.0,418,passive
bbbc006_k01_s1,combined,0.1274009495973587,0.16711923480033875,0.25849083065986633,93553.0,91,1028.0549450549452,831.0,320,passive
bbbc039_f01_s2_w1,combined,0.08545981347560883,0.1356007158756256,0.18004807829856873,65163.0,91,716.0769230769231,679.0,495,passive
bbbc006_b05_s2,combined,0.23170258104801178,0.11964040249586105,0.28370633721351624,102679.0,90,1140.8777777777777,887.0,243,passive
bbbc006_a22_s2,combined,0.27804234623908997,0.14376264810562134,0.18048739433288574,65322.0,75,870.96,766.0,158,passive
bbbc006_l16_s1,combined,0.3631707727909088,0.14620302617549896,0.3019286096096039,109274.0,102,1071.313725490196,808.0,212,passive
bbbc006_j06_s2,combined,0.2155531793832779,0.10137555748224258,0.25289565324783325,91528.0,95,963.4526315789474,877.0,255,passive
bbbc006_h04_s1,combined,0.045673102140426636,0.07019452005624771,0.25787466764450073,93330.0,112,833.3035714285714,707.5,24,passive
bbbc006_c11_s1,combined,0.25988736748695374,0.13246645033359528,0.27285036444664,98750.0,84,1175.595238095238,856.5,240,passive
bbbc006_a18_s1,combined,0.06180955097079277,0.09341289848089218,0.23758842051029205,85988.0,91,944.9230769230769,764.0,599,passive
bbbc006_i10_s1,combined,0.10446127504110336,0.1031060665845871,0.0802110955119133,29030.0,29,1001.0344827586207,941.0,423,passive
bbbc006_f09_s1,combined,0.06252975761890411,0.08325560390949249,0.3019286096096039,109274.0,117,933.965811965812,721.0,187,passive
bbbc039_o01_s6_w1,combined,0.06817831844091415,0.11427527666091919,0.13819076120853424,50014.0,72,694.6388888888889,699.0,316,passive
bbbc039_g22_s3_w1,combined,0.05324946716427803,0.07565414160490036,0.2280227690935135,82526.0,119,693.4957983193277,658.0,172,active
bbbc039_c23_s2_w1,combined,0.03202050179243088,0.04895678535103798,0.1840931624174118,66627.0,105,634.5428571428571,666.0,525,active
bbbc039_a20_s4_w1,combined,0.09092190116643906,0.12147706747055054,0.22893457114696503,82856.0,120,690.4666666666667,660.0,609,active
bbbc006_j24_s1,combined,0.35692885518074036,0.12484127283096313,0.2632487714290619,95275.0,71,1341.9014084507041,899.0,118,active
bbbc039_n12_s7_w1,combined,0.05728132650256157,0.06861414015293121,0.30872291326522827,111733.0,148,754.9527027027027,634.0,42,active
bbbc006_m06_s1,combined,0.19241587817668915,0.08545129746198654,0.24049513041973114,87040.0,102,853.3333333333334,702.0,359,active
bbbc039_k06_s9_w1,combined,0.04118439182639122,0.056328341364860535,0.22183078527450562,80285.0,110,729.8636363636364,687.0,395,active
bbbc006_d14_s2,combined,0.28128570318222046,0.13873697817325592,0.17778514325618744,64344.0,79,814.4810126582279,649.0,312,active
bbbc006_p06_s1,combined,0.008252659812569618,0.025775566697120667,0.023800840601325035,8614.0,9,957.1111111111111,709.0,2,active
bbbc039_b23_s1_w1,combined,0.07707798480987549,0.12635836005210876,0.13080790638923645,47342.0,65,728.3384615384615,747.0,510,active
bbbc006_a08_s2,combined,0.189912348985672,0.10264644771814346,0.16633786261081696,60201.0,60,1003.35,635.5,184,active
bbbc006_k23_s1,combined,0.03719520568847656,0.07829955965280533,0.13620689511299133,49296.0,52,948.0,871.0,489,active
bbbc006_a02_s2,combined,0.03058319166302681,0.057915642857551575,0.14612621068954468,52886.0,65,813.6307692307693,650.0,185,active
bbbc006_p05_s2,combined,0.059595439583063126,0.10332562774419785,0.19097037613391876,69116.0,70,987.3714285714286,809.0,584,active
bbbc006_l11_s2,combined,0.22951383888721466,0.09380628913640976,0.2523016035556793,91313.0,95,961.1894736842105,828.0,136,active
bbbc006_p18_s2,combined,0.41323065757751465,0.16225217282772064,0.3046778440475464,110269.0,88,1253.0568181818182,849.5,326,active
bbbc006_d23_s1,combined,0.3786003291606903,0.150226891040802,0.25105270743370056,90861.0,95,956.4315789473684,747.0,230,active
bbbc006_k07_s1,combined,0.21313819289207458,0.11453404277563095,0.22679874300956726,82083.0,87,943.4827586206897,734.0,560,active
bbbc006_p10_s1,combined,0.05642453208565712,0.0910763144493103,0.22392241656780243,81042.0,63,1286.3809523809523,1046.0,520,active
bbbc006_n13_s1,combined,0.3332025706768036,0.14124007523059845,0.26564711332321167,96143.0,99,971.1414141414141,709.0,456,active
bbbc039_n07_s5_w1,combined,0.12801027297973633,0.16978198289871216,0.24803824722766876,89770.0,131,685.2671755725191,628.0,406,active
bbbc039_c19_s4_w1,combined,0.06478039175271988,0.0960903987288475,0.2027381807565689,73375.0,105,698.8095238095239,700.0,177,active
bbbc006_f12_s1,combined,0.3048841059207916,0.11055564880371094,0.2705570161342621,97920.0,91,1076.043956043956,814.0,381,active
bbbc006_i04_s1,combined,0.17261876165866852,0.10160468518733978,0.217368483543396,78670.0,91,864.5054945054945,793.0,138,active
bbbc006_f09_s2,combined,0.23795150220394135,0.09807118028402328,0.2439986765384674,88308.0,84,1051.2857142857142,847.0,180,active
bbbc006_p17_s2,combined,0.009774868376553059,0.039713215082883835,0.023554928600788116,8525.0,7,1217.857142857143,1090.0,360,active
bbbc006_i03_s1,combined,0.04113840311765671,0.0643383115530014,0.22055703401565552,79824.0,94,849.1914893617021,745.0,39,active
bbbc006_b01_s1,combined,0.20811164379119873,0.16650651395320892,0.13586151599884033,49171.0,52,945.5961538461538,741.5,315,active
bbbc006_l22_s1,combined,0.2691178619861603,0.12285701185464859,0.19826480746269226,71756.0,87,824.7816091954023,718.0,198,active
bbbc006_n15_s1,combined,0.06253845244646072,0.086347296833992,0.28670424222946167,103764.0,99,1048.121212121212,729.0,256,active
bbbc006_h21_s2,combined,0.03730876371264458,0.02753317542374134,0.0,0.0,0,0.0,0.0,69,active
bbbc006_i12_s1,combined,0.1866544634103775,0.14676056802272797,0.12131686508655548,43907.0,53,828.433962264151,722.0,528,active
bbbc006_c20_s1,combined,0.36881282925605774,0.1283811777830124,0.30691587924957275,111079.0,104,1068.0673076923076,822.5,534,active
bbbc006_c09_s1,combined,0.27289727330207825,0.13810543715953827,0.27558577060699463,99740.0,91,1096.043956043956,908.0,443,active
bbbc006_b02_s2,combined,0.15662705898284912,0.07457195967435837,0.20238174498081207,73246.0,84,871.9761904761905,739.5,86,active
bbbc006_f08_s2,combined,0.23509401082992554,0.09819663316011429,0.28716567158699036,103931.0,95,1094.0105263157895,813.0,293,active
bbbc006_m04_s1,combined,0.011853973381221294,0.04017752781510353,0.030998563393950462,11219.0,14,801.3571428571429,752.5,287,active
bbbc039_l06_s4_w1,combined,0.052469782531261444,0.09073125571012497,0.12987953424453735,47006.0,77,610.4675324675325,590.0,496,active
bbbc006_l13_s2,combined,0.28805723786354065,0.13290700316429138,0.32077255845069885,116094.0,94,1235.0425531914893,780.0,506,active
bbbc006_g19_s2,combined,0.3500025272369385,0.12770742177963257,0.31376272439956665,113557.0,100,1135.57,880.5,400,active
bbbc039_n02_s8_w1,combined,0.07404741644859314,0.09149392694234848,0.2897380590438843,104862.0,131,800.4732824427481,676.0,483,active
bbbc006_h22_s1,combined,0.0553816482424736,0.08908208459615707,0.23811891674995422,86180.0,88,979.3181818181819,871.5,540,active
bbbc006_j03_s2,combined,0.04249408096075058,0.06091952323913574,0.2518622875213623,91154.0,93,980.1505376344086,787.0,327,active
bbbc006_o05_s2,combined,0.14835785329341888,0.10080844163894653,0.1627928763628006,58918.0,74,796.1891891891892,686.5,634,active
bbbc006_k09_s2,combined,0.046466171741485596,0.0703788697719574,0.24105051159858704,87241.0,104,838.8557692307693,697.0,74,active
bbbc006_n12_s1,combined,0.2556819021701813,0.13333003222942352,0.2081095278263092,75319.0,91,827.6813186813187,652.0,619,active
bbbc006_f10_s1,combined,0.05316709727048874,0.08036459982395172,0.24466733634471893,88550.0,89,994.943820224719,891.0,461,active
bbbc006_f03_s2,combined,0.05305659770965576,0.07685620337724686,0.2842368483543396,102871.0,101,1018.5247524752475,798.0,280,active
bbbc006_b07_s2,combined,0.06260255724191666,0.0850038230419159,0.28088250756263733,101657.0,108,941.2685185185185,753.0,101,active
bbbc039_f12_s8_w1,combined,0.01844598725438118,0.04760417342185974,0.012342507019639015,4467.0,6,744.5,815.0,340,active
bbbc006_o02_s2,combined,0.051635634154081345,0.0844121128320694,0.2068357616662979,74858.0,81,924.1728395061729,844.0,116,active
bbbc006_b24_s2,combined,0.15027688443660736,0.23600871860980988,0.06776083260774612,24524.0,18,1362.4444444444443,933.5,499,active
bbbc006_l23_s2,combined,0.39598754048347473,0.15296396613121033,0.3019810914993286,109293.0,109,1002.6880733944954,772.0,527,active
bbbc006_c19_s2,combined,0.05488545820116997,0.08702025562524796,0.24910201132297516,90155.0,98,919.9489795918367,802.5,14,active
bbbc006_i18_s2,combined,0.06032710522413254,0.030838623642921448,0.0019783377647399902,716.0,1,716.0,716.0,357,active
bbbc006_d03_s1,combined,0.20024871826171875,0.08932028710842133,0.29127708077430725,105419.0,104,1013.6442307692307,724.0,8,active
bbbc006_p02_s2,combined,0.08685551583766937,0.14966841042041779,0.15286803245544434,55326.0,66,838.2727272727273,737.5,358,active
bbbc006_i10_s2,combined,0.07908263057470322,0.13637779653072357,0.18809129297733307,68074.0,71,958.7887323943662,777.0,364,active
bbbc006_d14_s1,combined,0.21745829284191132,0.15333451330661774,0.16805094480514526,60821.0,74,821.9054054054054,699.5,492,active
bbbc039_n21_s1_w1,combined,0.016643550246953964,0.036637913435697556,0.030095048248767853,10892.0,25,435.68,468.0,335,active
bbbc006_i22_s2,combined,0.3590583801269531,0.14471706748008728,0.3037964105606079,109950.0,94,1169.6808510638298,882.5,602,active
bbbc006_e07_s2,combined,0.20031924545764923,0.09449112415313721,0.23660477995872498,85632.0,94,910.9787234042553,732.0,598,active
bbbc039_g16_s6_w1,combined,0.05611547827720642,0.07407443225383759,0.26699545979499817,96631.0,144,671.0486111111111,639.5,536,active
bbbc006_h06_s2,combined,0.04929215833544731,0.08282457292079926,0.1942998468875885,70321.0,82,857.5731707317074,764.5,472,active
bbbc006_j22_s2,combined,0.07592364400625229,0.10230991244316101,0.33544430136680603,121404.0,100,1214.04,816.0,633,active
bbbc006_n20_s2,combined,0.33701661229133606,0.111356221139431,0.313630074262619,113509.0,102,1112.8333333333333,814.5,657,active
bbbc039_j17_s1_w1,combined,0.08503931760787964,0.13946858048439026,0.15948276221752167,57720.0,72,801.6666666666666,751.0,149,active
bbbc006_c14_s2,combined,0.030788911506533623,0.06351472437381744,0.1459410935640335,52819.0,55,960.3454545454546,801.0,402,active
bbbc006_p23_s2,combined,0.06031766161322594,0.0993548035621643,0.22013704478740692,79672.0,83,959.9036144578313,739.0,62,active
bbbc006_m13_s1,combined,0.36052465438842773,0.14685381948947906,0.2921943962574005,105751.0,99,1068.1919191919192,838.0,613,active
bbbc006_f22_s2,combined,0.06188890337944031,0.0965537577867508,0.2592782974243164,93838.0,83,1130.578313253012,972.0,321,active
bbbc006_e14_s2,combined,0.3149911165237427,0.1292528510093689,0.2778514623641968,100560.0,88,1142.7272727272727,851.5,427,active
bbbc006_f18_s1,combined,0.06979159265756607,0.09470576047897339,0.2990080714225769,108217.0,102,1060.950980392157,805.5,33,active
bbbc006_h10_s1,combined,0.24026887118816376,0.11410702764987946,0.2503122091293335,90593.0,89,1017.8988764044943,870.0,106,active
bbbc039_h24_s6_w1,combined,0.038540299981832504,0.054423943161964417,0.22165672481060028,80222.0,119,674.1344537815127,646.0,458,active
bbbc006_i08_s2,combined,0.14926792681217194,0.11352719366550446,0.11744308471679688,42505.0,40,1062.625,892.5,268,active
bbbc039_a12_s7_w1,combined,0.012733700685203075,0.027697620913386345,0.04531664401292801,16401.0,19,863.2105263157895,1108.0,589,active
bbbc039_h18_s7_w1,combined,0.07861857861280441,0.09847637265920639,0.2765362560749054,100084.0,115,870.295652173913,712.0,518,active
bbbc006_b18_s2,combined,0.3563287854194641,0.12614041566848755,0.27546417713165283,99696.0,78,1278.1538461538462,918.0,100,active
bbbc006_e15_s1,combined,0.2648003399372101,0.13587284088134766,0.22627928853034973,81895.0,83,986.6867469879518,789.0,64,active
bbbc006_m16_s1,combined,0.049616362899541855,0.07864484935998917,0.2337035834789276,84582.0,88,961.1590909090909,730.5,123,active
bbbc006_o21_s2,combined,0.4057184159755707,0.1657896339893341,0.2736046612262726,99023.0,107,925.4485981308411,718.0,396,active
bbbc006_j21_s2,combined,0.3842482566833496,0.1484939604997635,0.3517490029335022,127305.0,93,1368.8709677419354,886.0,241,active
bbbc039_a18_s1_w1,combined,0.06681594997644424,0.11157762259244919,0.16448663175106049,59531.0,94,633.3085106382979,631.0,600,active
bbbc006_n18_s1,combined,0.05726766958832741,0.09098026156425476,0.24821783602237701,89835.0,88,1020.8522727272727,882.5,92,active
bbbc039_p24_s9_w1,combined,0.0640595406293869,0.10791633278131485,0.1463748961687088,52976.0,80,662.2,691.0,251,active
bbbc006_k05_s1,combined,0.15494437515735626,0.09041137993335724,0.2026580423116684,73346.0,81,905.5061728395061,709.0,391,active
bbbc006_l17_s1,combined,0.061387497931718826,0.09016571938991547,0.25127100944519043,90940.0,78,1165.8974358974358,904.0,638,active
bbbc006_p20_s2,combined,0.39637333154678345,0.16980011761188507,0.23909427225589752,86533.0,88,983.3295454545455,806.0,262,active
bbbc006_c22_s1,combined,0.3185305893421173,0.14701314270496368,0.2497900128364563,90404.0,87,1039.1264367816093,803.0,547,active
